,title,price,link
10,Lot of (6) 15 Cent Marvel Comic Books 1970-71 KEYS FANTASTIC FOUR 109 114 DOOM,US $29.99,https://www.ebay.com/itm/275978420458?hash=item40419880ea:g:OxoAAOSwKfFkvxOk&amdata=enc%3AAQAIAAAAwEaba3cRGTTIZK70h11qD40QQ55rZhpzaf%2FZDI2NyccSUqHYjFe9A%2BNP%2FIK5JmXPPamjhN%2BcnHN85cDgdYA9r37IuOrJsD5PKQtNlk3QIciXNklSbAXkpPShB41SdmE3gvJ%2B32QMElJBfH6Qs8I%2BEB%2BfAzrZshTgS1RvNGZMpOfPw5D4KKiMK855I8KexBB%2BZvLON9fPiXwpIkvbYOO6llN6c5b%2FOAs7FLQKjsaFex2OgUawIro6vpk5xuAvoyEjTw%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
11,"HUGE PREMIUM 25 COMIC BOOK LOT-MARVEL, DC- FREE SHIPPING! ALL BAGGED AND BOARDED",US $34.00,https://www.ebay.com/itm/165820536387?hash=item269bac9643:g:0DYAAOSw1G5jkQ9N&amdata=enc%3AAQAIAAAAwHW2CUipIOi44ECKHT4f%2Bcz2Le21HhNl2KTkKEVi43maPUPFWC78b3eoR0LKOOX5wDOFv75F1j6Eqi1K%2FhzZ2cd0332P0ZGsXaPepa1Da4mOYyjaoYIX3QZn7FMS9qqXDeoogAwzR8ktPSyCKNvRkhnaPwRn9gFneL7XKcCu2nvdBraO1faK5NMXTuBm0jdL4%2BDup%2FyDPr%2BgT3aYRGFb9SoUqH08jzsxq5Znl%2BHv8Wz%2FEgUDy0FOuHUxolX9EzKahg%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
12,"Uncanny X-Men Byrne Lot 111-143 141 Dark Phoenix, Days of Future Past Low-Mid Gr",US $400.00,https://www.ebay.com/itm/325751739993?hash=item4bd8511659:g:Mp0AAOSwQDtkvZZF&amdata=enc%3AAQAIAAAA4CFwkDGaB95Y4Lu6WGIBoFTBFXx8QT7BeeRce6FmdT0KPaDAQLg%2F3eLLUtjWwu%2BqQgnOl7%2BuyGAkvCLbr7siXfnRw%2Bx8G%2BcuASP95FIMEVB3RkL6qGUvymMdUOv93RosXCt8ZWnQ5UcexCJBySq1fbQbEBvspGDVdOJ1GJEsfyfg1cKDUcElzXeVjFnHWS6GANwMYiX8GdlH1aPeVqHyPlIowyc6Pq0QtreZA5EP9GJj%2FTZQWa%2BBDADybl9B1%2Fxsp9gDGK0jhewsBqnkY5r80925qTD3zOruhH1QONzo8AXM%7Ctkp%3ABk9SR5rvx8u3Yg
13,COMIC BOOK BLIND BOX AMAZING SPIDER-MAN 300 SECRET WARS 8,US $56.99/ea,https://www.ebay.com/itm/385706798248?hash=item59cdeaaca8:g:lGQAAOSwbNBkltoE&amdata=enc%3AAQAIAAAAwOAsNi9SEjx8F1ePz7HZsq8YXMD%2FdEy51btkpbyHd9r93w2Fqhzyv3xsUjsx9giQxFJ6VofWE%2B%2BbzgY7%2FAZ%2FTiFAIhLgWZQBHlAnBr0DBTqYEJGukLRCfi8djzUEMPp4u0ZtS5SjFlVlkb4Z6SJhh0VA9RVbJhEuRvxMz9jxdYtFjI32%2FyAR%2FbSD9RC1jZjVt7BXk41VthskuGvMrDyFFwZ4m6lglmXxw0x3EK96%2BqCH9sYJ6jUP37Cd6qhCPa08tg%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
14,100 Bulk Lot Assorted Comics Dc/ Marvel/ indies  Comic Books Incentives Included,US $50.00,https://www.ebay.com/itm/185113238611?hash=item2b199bdc53:g:KuAAAOSwWelgMrRB&amdata=enc%3AAQAIAAAA4MbORAfKhscmUJoOuQ2cM8K%2B0YL8Ff7O2smVnXrAIhwYQmyw3gscI9Z7TW9ylGgz9KUIqiiICMmvR0i6B%2FB0dpePRLgBVVXU20gAgSNMe2IwO%2Bj0oWA8wteW6y5qMTWhViGnFC8kHcXXx0B8hmI2hmbC1VC5oD95%2BMxZl%2FXPdHcakE0enTdQDdGYc1cANK0ht4yOCb97F2F5vbJ90hZu6XQBQL8ZOgT2Fgk8d72AcOBNV8tNsujQ%2Fn%2BHi7O3B%2FZEflAvQ%2FRxABT5d4ZueoTpzWwvxpnx01W1fErtuSA6H6NY%7Ctkp%3ABFBMmu_Hy7di
15,Prime Comic Book Lot Marvel Only (See Description),US $21.99/ea,https://www.ebay.com/itm/275751401156?hash=item40341076c4:g:GPkAAOSwgHNkIH0r&amdata=enc%3AAQAIAAAA4DrGPR%2BcTLEt%2FXO3YPebLF1uAZ34Mb8fNwaLAAmaLNnWPypWoOwrIGDdAi%2B%2FVBEOwTlgw3mV3dT%2FScU%2Bx7wWpp%2BuFjGsFibkznvC4niHJeo5mcFl0MtdodmIsjjsG7PUH9M57zdmD6nXIAxPwxwou%2B7%2FILfqsPODNuuEtqrrZXLSYDrVuTBQ%2BQs%2FUqR6W5S61K%2FIn%2F8LWdnIFQXV3Z6dbuTruzj480nAI%2FXA%2BXPyCM8dRziYjHbhckDcYntZGpOYq%2FZmxoiD2lAD1wR1H7XjsITGx79QvVnZuAeI%2BR70%2F7py%7Ctkp%3ABFBMmu_Hy7di
16,MARVEL- Lot of 100 Comic Books- All different MARVEL ONLY *FREE SHIPPING*,US $109.00,https://www.ebay.com/itm/165468723988?hash=item2686b45b14:g:RjQAAOSwdMBe~jAG&amdata=enc%3AAQAIAAAA4IOF3%2FgMTpJ7Rpxc5%2BCa99BzcHSHjmt0L0Thy87Xr5Q2%2Fm%2BN0SNB%2BASuXLcMpb5k4jrXykKssIMFwGthSvT6AzYeP38hX55j8fcbbz%2B18cKqbWAzn%2BgiHSr9bTjSjCJqPpYJJ2HxYnHIY%2FD3ygZvS%2Bf0ZOiuJHQ%2BQ%2BsP82WhOpBVw1ZAek6qUHCmAfCtPbMOQEqfAbHw44vdDgEGD5pSTJ%2FZEqEBfXzGB3zgczML5KkLjoraQPLhT8klcP4FZgd8Ye3YeUAe013Gpt2x3hb4%2FxlHcg%2BFlNwA7lZSEgQfn%2BgY%7Ctkp%3ABFBMmu_Hy7di
17,"The Smurfs #1, #2, #3, Marvel Comics, 1982, Lot of 3 CGC 6.0, 5.0 and 7.5",US $12.50,https://www.ebay.com/itm/204414448645?hash=item2f980cf405:g:meMAAOSwa-ZkpODN&amdata=enc%3AAQAIAAAAwIPcnRnXfe1yU2DThk9uP9XeIgg9InCPP8Jrp32ojYaFmz4CN35wtZfrHxLf7KyPi9Ql%2FvpkL2%2B%2B5tr3%2BI1zh7XlQXSnadevFeb2LK%2FZkM79H9VXz2QU%2FABLnHh4VxuaxbyYYg71hCJxu%2FiZ6OJtTPSq%2FnildPPvXynkU7ZsLpOKxk9Tz5i%2FbnlKe1CajANcEZ%2BdOp7TbIKRXQwpE3SydG6Elf5GLvxFn6WOkzkgV5CYjxnhz4cv5YYgU137T8TSoQ%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
18,DC Comics Job Lot of 5X Superman Comics 1990s to 2000s VF/NM,GBP 9.99,https://www.ebay.com/itm/134608243222?hash=item1f5746ca16:g:5XoAAOSw1O1kOoLH&amdata=enc%3AAQAIAAAA4FIm1tAywK%2Bgr85AkjuahHRI3C9%2Bhrs8FHrpmYj%2B1MNb2X%2FefgmQdh6gSlSdGOhl4NEkqAYpPlSRSu%2BcqNm7SlzQ2VEQstv9eqOJXu%2BgjPd9AIB7WjNm9RB%2FOBMMu8X2ofjEEIJfzlHXs0ouWCuJ2k0o56RnoxkGVoRpiDym3cx7AC0U%2BMDE4r2nYRYpQ%2BH%2BithdZxn2aTgFAfE6YvG6Km80gzUPGgo56DAFawNcdINwBl8ya9lr4kPgmzZbKA4WsO6YVJgaOCaJgvQBAdrbWewR1T3ACdu%2F%2BAynMr8lMeyp%7Ctkp%3ABk9SR5rvx8u3Yg
19,Comic Books Graphic Novels &amp; Manga Marvel Etc Hardback Hardcover + TPB * CHOOSE,GBP 5.00,https://www.ebay.com/itm/285313242960?epid=23049973103&hash=item426dfe9750:g:O3kAAOSwx5Bkj5rn&amdata=enc%3AAQAIAAAA4EMdn0tWntZyNvpUwGa2aSAaFNoUHpv5A52IAsvoI7BYJ3hRcIKwsjUuuaBSD%2FO47BFHS1aVOZZ2w6n2xbypbpsWU6TtMOlz7FpXGRtbI6NM7m8NTLN5Lb7ub%2BS6MjkUM%2BLo5E0mY%2FSXnIvt8fSgaI2i5lnUwv3cHusNNYLfGJNAihR%2BZEdi2f%2FLPxloNI6eqfOB0jqo9psRqUOnZaqCVndZw5ZP%2BL5dsz9ldgOjXuuulMygUW7K%2FTVU%2FdOPHNS71kWDsmx%2F3LK0jrtb4SVy%2B1UHmHfI4FPWpewE%2FMwWnwE7%7Ctkp%3ABk9SR5rvx8u3Yg
